,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
33,The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
34,"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,,,,,
35,Never Have I Ever: Season 4,Yes,2023-06-08,168300000,49.0,6.8,['Comedy'],"party,teenager,sex comedy","Charlie Brandis leads a quiet and uneventful life as a wallflower. His parents trust him, his friends like him, girls are indifferent toward him. Then there&apos;s the girl he&apos;s watched from afar, Annie Briggs, who doesn&apos;t even know he..."
36,Your Place or Mine,Yes,2023-02-10,163000000,36862.0,5.7,"['Comedy', 'Romance']","friend,best friend,volunteer,teenager,son",
38,Emily in Paris: Season 3,Yes,2022-12-21,161100000,112694.0,6.9,"['Comedy', 'Drama', 'Romance']","female protagonist,character name in series title,american in france,location in series title,marketing",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
39,Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,119246.0,6.2,"['Adventure', 'Family', 'Fantasy']","alice character,caterpillar character,the mad hatter character,march hare character,dormouse character",
40,Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,,,"['Action', 'Adventure', 'Drama']","planet,moon,space,galaxy,young","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
41,Outer Banks: Season 2,Yes,2021-07-30,153900000,74403.0,7.5,"['Action', 'Crime', 'Drama']","treasure,treasure map,treasure hunt,coming of age,young","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father&apos;s disappearance."
43,Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,650.0,7.9,"['Animation', 'Action', 'Adventure']","betrayal by a friend,betrayal,magneto character,morph character,shapeshifter",Jean and Scott get married. Newly elected President Kelly has freed Beast who has been incarcerated since the attack on government facility at the beginning of Season 1 and added him as part of his Presidential cabinet. Another fr...
44,Mr. Queen // 철인왕후,No,,151500000,7000.0,4.7,"['Comedy', 'Drama', 'Romance']","two word title,2000s,male to female cross dressing,nba,national basketball association",A star basketball player decides to dress up as a woman and join the women&apos;s professional basketball league when his on-court antics get him suspended.
45,Manifest: Season 1,No,2021-06-10,151400000,,,,,
