,Title,Available Globally?,Release Date,Hours Viewed
109,Hunger // คนหิว เกมกระหาย,Yes,2023-04-08 00:00:00,92300000
110,Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10 00:00:00,92200000
112,Firefly Lane: Season 1,Yes,2021-02-03 00:00:00,91200000
113,Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27 00:00:00,90800000
114,Formula 1: Drive to Survive: Season 5,Yes,2023-02-24 00:00:00,90200000
115,Sweet Tooth: Season 1,Yes,2021-06-04 00:00:00,89000000
116,S.W.A.T. (2017): Season 1,No,,88600000
117,Murder Mystery,Yes,2019-06-14 00:00:00,87900000
119,Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17 00:00:00,87200000
121,Manifest: Season 2,No,2021-06-10 00:00:00,86200000
122,Extraction,Yes,2020-04-24 00:00:00,86100000
123,Lucifer: Season 2,No,2017-08-31 00:00:00,86100000
124,Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31 00:00:00,86000000
126,The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15 00:00:00,85000000
128,Lucifer: Season 1,No,2017-07-23 00:00:00,84400000
130,Breaking Bad: Season 1,No,,83200000
131,The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14 00:00:00,83200000
132,Selling Sunset: Season 6,Yes,2023-05-19 00:00:00,82800000
134,Suits (2011): Season 3,Yes,,82500000
135,Sam & Cat: Season 1,No,,82400000
136,Gilmore Girls: Season 1,Yes,,82100000
137,Sonic Prime: Season 1,Yes,2022-12-15 00:00:00,82100000
138,Peppa Pig: Season 1,No,,81800000
139,Manifest: Season 3,No,2021-08-21 00:00:00,81700000
141,Better Call Saul: Season 6,No,2022-04-19 00:00:00,80800000
143,Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000
144,All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28 00:00:00,80000000
145,Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17 00:00:00,79700000
146,Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30 00:00:00,78200000
147,Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26 00:00:00,78200000
149,Stranger Things,Yes,2016-07-15 00:00:00,77800000
150,Paw Patrol: The Movie,No,,77200000
152,The Crown: Season 5,Yes,2022-11-09 00:00:00,76300000
153,Next in Fashion: Season 2,Yes,2023-03-03 00:00:00,75700000
154,Gilmore Girls: Season 2,Yes,,75200000
155,Lucifer: Season 5,No,2020-08-21 00:00:00,75200000
156,The Boss Baby,No,,75100000
160,Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01 00:00:00,73100000
162,Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20 00:00:00,72800000
163,The Walking Dead: Season 10,No,,72200000
164,The Witcher: Season 1,Yes,2019-12-20 00:00:00,72200000
165,Gabby's Dollhouse: Season 1,Yes,2021-01-05 00:00:00,71600000
166,The Walking Dead: Season 3,No,,71600000
168,Gilmore Girls: Season 3,Yes,,71300000
169,Red Rose: Season 1,Yes,2023-02-15 00:00:00,71100000
170,Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20 00:00:00,71000000
172,Gilmore Girls: Season 5,Yes,,69900000
173,Gilmore Girls: Season 4,Yes,,69800000
174,The Blacklist: Season 2,No,,69700000
176,Stranger Things 2,Yes,2017-10-27 00:00:00,69200000
177,Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28 00:00:00,69000000
178,Love Is Blind: Season 3,Yes,2022-10-19 00:00:00,68900000
179,Kill Boksoon // 길복순,Yes,2023-03-31 00:00:00,68500000
181,The Flash (2014): Season 1,No,,68200000
182,Red Notice,Yes,2021-11-12 00:00:00,68100000
183,Henry Danger: Season 1,No,,67800000
184,The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17 00:00:00,67800000
185,The Walking Dead: Season 2,No,,67700000
186,Viking Wolf // Vikingulven,Yes,2023-02-03 00:00:00,67500000
187,Designated Survivor: Season 2,Yes,2017-09-28 00:00:00,67200000
189,Hotel Transylvania 2,No,,67000000
190,Stranger Things 3,Yes,2019-07-04 00:00:00,67000000
191,Masha and the Bear: Season 1,No,,66700000
192,Outlander: Season 1,No,2016-03-31 00:00:00,66500000
194,Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13 00:00:00,65900000
195,The Witcher: Blood Origin: Limited Series,Yes,2022-12-25 00:00:00,65300000
198,Jumanji: The Next Level,No,,64300000
199,Suits (2011): Season 4,Yes,,64200000
200,Gilmore Girls: Season 6,Yes,,63900000
202,All American: Season 5,No,,63700000
203,Peppa Pig: Season 2,No,,63700000
204,DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21 00:00:00,63500000
205,The Blacklist: Season 3,No,,63500000
207,Home (2015),No,,62800000
209,The Walking Dead: Season 4,No,,62300000
210,Harry & Meghan: Limited Series,Yes,2022-12-08 00:00:00,62000000
211,The Walking Dead: Season 5,No,,62000000
212,My Dad the Bounty Hunter: Season 1,Yes,2023-02-09 00:00:00,61800000
215,Pasión de Gavilanes: Season 2,No,,61500000
217,Peaky Blinders: Season 1,No,2014-09-30 00:00:00,61100000
218,Victorious: Season 1,No,,61100000
219,Never Have I Ever: Season 1,Yes,2020-04-27 00:00:00,61000000
220,THE DAYS: Limited Series,No,2023-06-01 00:00:00,60800000
221,Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15 00:00:00,60600000
223,Narcos: Season 1,Yes,2015-08-28 00:00:00,59900000
224,The Walking Dead: Season 6,No,,59800000
225,MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04 00:00:00,59600000
226,The Witcher: Season 2,Yes,2021-12-17 00:00:00,59300000
227,Sky Rojo: Season 3,Yes,2023-01-13 00:00:00,58500000
228,Young Lady and Gentleman // 신사와 아가씨,No,,58500000
229,Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,58300000
230,Never Have I Ever: Season 3,Yes,2022-08-12 00:00:00,58300000
232,S.W.A.T. (2017): Season 2,No,,57900000
233,ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,57800000
236,Workin' Moms: Season 7,No,2023-04-26 00:00:00,57500000
237,Barbie Life in the Dreamhouse: Season 1,Yes,,57400000
238,The Walking Dead: Season 7,No,,57400000
239,The Blacklist: Season 8,No,,57000000
243,Gilmore Girls: Season 7,Yes,,56500000
245,Suits (2011): Season 5,Yes,,56400000
246,The Croods,No,,56400000
248,The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29 00:00:00,56000000
249,Matilda (1996),No,,55700000
253,Jane The Virgin: Season 1,Yes,,55200000
254,The Blacklist: Season 4,No,,55200000
256,The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09 00:00:00,55000000
259,"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31 00:00:00,54400000
260,The Circle: Season 5,Yes,2022-12-28 00:00:00,54400000
261,The Ultimatum: Queer Love: Season 1,Yes,2023-05-24 00:00:00,53800000
262,Never Have I Ever: Season 2,Yes,2021-07-15 00:00:00,53700000
265,Emily in Paris: Season 2,Yes,2021-12-22 00:00:00,53300000
266,The Last Kingdom: Season 5,No,2022-03-09 00:00:00,53300000
268,The Walking Dead: Season 8,No,,53000000
269,Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06 00:00:00,53000000
270,We Can Be Heroes,Yes,2020-12-25 00:00:00,52800000
272,Better Call Saul: Season 1,No,2015-02-08 00:00:00,52500000
273,The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11 00:00:00,52400000
274,Shameless (U.S.): Season 1,No,,52300000
276,Bodyguard: Season 1,Yes,2018-10-24 00:00:00,52000000
277,Dr. Seuss' The Lorax,No,,52000000
278,1899: Season 1,Yes,2022-11-17 00:00:00,51800000
