,country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
812,Argentina,AR,2023-06-04,TV,3,Casados con hijos,Casados con hijos: Season 1,3
813,Argentina,AR,2023-06-04,TV,4,Casados con hijos,Casados con hijos: Season 2,2
814,Argentina,AR,2023-06-04,TV,5,Muted,Muted: Limited Series,3
815,Argentina,AR,2023-06-04,TV,6,THE DAYS,THE DAYS: Limited Series,1
816,Argentina,AR,2023-06-04,TV,7,Manifest,Manifest: Season 4,5
817,Argentina,AR,2023-06-04,TV,8,Valeria,Valeria: Season 3,1
818,Argentina,AR,2023-06-04,TV,9,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",20
819,Argentina,AR,2023-06-04,TV,10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,81
820,Argentina,AR,2023-05-28,Films,1,2 Hearts,,1
821,Argentina,AR,2023-05-28,Films,2,Mother's Day,,1
822,Argentina,AR,2023-05-28,Films,3,The Mother,,3
823,Argentina,AR,2023-05-28,Films,4,Tin & Tina,,1
824,Argentina,AR,2023-05-28,Films,5,Faithfully Yours,,2
825,Argentina,AR,2023-05-28,Films,6,Blood & Gold,,1
826,Argentina,AR,2023-05-28,Films,7,The Lulú Club,,2
827,Argentina,AR,2023-05-28,Films,8,Where the Tracks End,,1
828,Argentina,AR,2023-05-28,Films,9,Hard Feelings,,1
829,Argentina,AR,2023-05-28,Films,10,Astérix & Obélix: The Middle Kingdom,,2
830,Argentina,AR,2023-05-28,TV,1,Casados con hijos,Casados con hijos: Season 1,2
831,Argentina,AR,2023-05-28,TV,2,Muted,Muted: Limited Series,2
832,Argentina,AR,2023-05-28,TV,3,FUBAR,FUBAR: Season 1,1
833,Argentina,AR,2023-05-28,TV,4,"XO, Kitty","XO, Kitty: Season 1",2
834,Argentina,AR,2023-05-28,TV,5,Queen Charlotte: A Bridgerton Story,,4
835,Argentina,AR,2023-05-28,TV,6,Casados con hijos,Casados con hijos: Season 2,1
836,Argentina,AR,2023-05-28,TV,7,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",19
837,Argentina,AR,2023-05-28,TV,8,Love After Music,Love After Music: Season 1,5
838,Argentina,AR,2023-05-28,TV,9,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,80
839,Argentina,AR,2023-05-28,TV,10,The Marked Heart,The Marked Heart: Season 2,6
840,Argentina,AR,2023-05-21,Films,1,The Mother,,2
841,Argentina,AR,2023-05-21,Films,2,Faithfully Yours,,1
842,Argentina,AR,2023-05-21,Films,3,Synchronic,,2
843,Argentina,AR,2023-05-21,Films,4,¡Que viva México!,,2
844,Argentina,AR,2023-05-21,Films,5,The Healer,,1
845,Argentina,AR,2023-05-21,Films,6,Wrong Place,,3
846,Argentina,AR,2023-05-21,Films,7,Astérix & Obélix: The Middle Kingdom,,1
847,Argentina,AR,2023-05-21,Films,8,Mrs. Chatterjee vs Norway,,1
848,Argentina,AR,2023-05-21,Films,9,AKA,,4
849,Argentina,AR,2023-05-21,Films,10,The Lulú Club,,1
850,Argentina,AR,2023-05-21,TV,1,Muted,Muted: Limited Series,1
851,Argentina,AR,2023-05-21,TV,2,Casados con hijos,Casados con hijos: Season 1,1
852,Argentina,AR,2023-05-21,TV,3,Queen Charlotte: A Bridgerton Story,,3
853,Argentina,AR,2023-05-21,TV,4,"XO, Kitty","XO, Kitty: Season 1",1
854,Argentina,AR,2023-05-21,TV,5,Love After Music,Love After Music: Season 1,4
855,Argentina,AR,2023-05-21,TV,6,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",18
856,Argentina,AR,2023-05-21,TV,7,The Marked Heart,The Marked Heart: Season 2,5
857,Argentina,AR,2023-05-21,TV,8,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,79
858,Argentina,AR,2023-05-21,TV,9,Firefly Lane,Firefly Lane: Season 2,7
859,Argentina,AR,2023-05-21,TV,10,Black Knight,Black Knight: Season 1,1
860,Argentina,AR,2023-05-14,Films,1,The Mother,,1
861,Argentina,AR,2023-05-14,Films,2,Wrong Place,,2
862,Argentina,AR,2023-05-14,Films,3,¡Que viva México!,,1
863,Argentina,AR,2023-05-14,Films,4,Synchronic,,1
864,Argentina,AR,2023-05-14,Films,5,The Deep End of the Ocean,,2
865,Argentina,AR,2023-05-14,Films,6,AKA,,3
866,Argentina,AR,2023-05-14,Films,7,Knowing,,2
867,Argentina,AR,2023-05-14,Films,8,1408,,1
868,Argentina,AR,2023-05-14,Films,9,The Tournament,,2
869,Argentina,AR,2023-05-14,Films,10,Royalteen: Princess Margrethe,,1
870,Argentina,AR,2023-05-14,TV,1,Queen Charlotte: A Bridgerton Story,,2
871,Argentina,AR,2023-05-14,TV,2,Love After Music,Love After Music: Season 1,3
872,Argentina,AR,2023-05-14,TV,3,The Marked Heart,The Marked Heart: Season 2,4
873,Argentina,AR,2023-05-14,TV,4,Sweet Tooth,Sweet Tooth: Season 2,3
874,Argentina,AR,2023-05-14,TV,5,Firefly Lane,Firefly Lane: Season 2,6
875,Argentina,AR,2023-05-14,TV,6,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",17
876,Argentina,AR,2023-05-14,TV,7,The Tailor,The Tailor: Season 1,2
877,Argentina,AR,2023-05-14,TV,8,The Marked Heart,The Marked Heart: Season 1,10
878,Argentina,AR,2023-05-14,TV,9,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,78
879,Argentina,AR,2023-05-14,TV,10,Bridgerton,Bridgerton: Season 1,3
880,Argentina,AR,2023-05-07,Films,1,Wrong Place,,1
881,Argentina,AR,2023-05-07,Films,2,AKA,,2
882,Argentina,AR,2023-05-07,Films,3,The Deep End of the Ocean,,1
883,Argentina,AR,2023-05-07,Films,4,A Quiet Place Part II,,2
884,Argentina,AR,2023-05-07,Films,5,The Father,,1
885,Argentina,AR,2023-05-07,Films,6,The Lodge,,1
886,Argentina,AR,2023-05-07,Films,7,The Tournament,,1
887,Argentina,AR,2023-05-07,Films,8,Let Him Go,,3
888,Argentina,AR,2023-05-07,Films,9,Hunger,,5
889,Argentina,AR,2023-05-07,Films,10,Knowing,,1
890,Argentina,AR,2023-05-07,TV,1,Love After Music,Love After Music: Season 1,2
891,Argentina,AR,2023-05-07,TV,2,Queen Charlotte: A Bridgerton Story,,1
892,Argentina,AR,2023-05-07,TV,3,Sweet Tooth,Sweet Tooth: Season 2,2
893,Argentina,AR,2023-05-07,TV,4,The Marked Heart,The Marked Heart: Season 2,3
894,Argentina,AR,2023-05-07,TV,5,Firefly Lane,Firefly Lane: Season 2,5
895,Argentina,AR,2023-05-07,TV,6,The Tailor,The Tailor: Season 1,1
896,Argentina,AR,2023-05-07,TV,7,The Marked Heart,The Marked Heart: Season 1,9
897,Argentina,AR,2023-05-07,TV,8,The Nurse,The Nurse: Limited Series,2
898,Argentina,AR,2023-05-07,TV,9,Outlander,Outlander: Season 6,1
899,Argentina,AR,2023-05-07,TV,10,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",16
900,Argentina,AR,2023-04-30,Films,1,AKA,,1
901,Argentina,AR,2023-04-30,Films,2,Let Him Go,,2
902,Argentina,AR,2023-04-30,Films,3,A Tourist's Guide to Love,,2
903,Argentina,AR,2023-04-30,Films,4,Chokehold,,2
904,Argentina,AR,2023-04-30,Films,5,Hunger,,4
905,Argentina,AR,2023-04-30,Films,6,A Quiet Place Part II,,1
906,Argentina,AR,2023-04-30,Films,7,One More Time,,1
907,Argentina,AR,2023-04-30,Films,8,"Kiss, Kiss!",,1
908,Argentina,AR,2023-04-30,Films,9,The Last Kingdom: Seven Kings Must Die,,3
909,Argentina,AR,2023-04-30,Films,10,Shrek 2,,1
910,Argentina,AR,2023-04-30,TV,1,Love After Music,Love After Music: Season 1,1
911,Argentina,AR,2023-04-30,TV,2,The Marked Heart,The Marked Heart: Season 2,2
912,Argentina,AR,2023-04-30,TV,3,The Marked Heart,The Marked Heart: Season 1,8
913,Argentina,AR,2023-04-30,TV,4,Welcome to Eden,Welcome to Eden: Season 2,2
914,Argentina,AR,2023-04-30,TV,5,Sweet Tooth,Sweet Tooth: Season 2,1
915,Argentina,AR,2023-04-30,TV,6,The Nurse,The Nurse: Limited Series,1
916,Argentina,AR,2023-04-30,TV,7,Rough Diamonds,Rough Diamonds: Season 1,2
917,Argentina,AR,2023-04-30,TV,8,The Diplomat,The Diplomat: Season 1,2
918,Argentina,AR,2023-04-30,TV,9,Firefly Lane,Firefly Lane: Season 2,4
919,Argentina,AR,2023-04-30,TV,10,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",15
920,Argentina,AR,2023-04-23,Films,1,Let Him Go,,1
921,Argentina,AR,2023-04-23,Films,2,The Last Kingdom: Seven Kings Must Die,,2
922,Argentina,AR,2023-04-23,Films,3,Hunger,,3
923,Argentina,AR,2023-04-23,Films,4,Queens on the Run,,2
924,Argentina,AR,2023-04-23,Films,5,A Tourist's Guide to Love,,1
925,Argentina,AR,2023-04-23,Films,6,Trolls World Tour,,2
926,Argentina,AR,2023-04-23,Films,7,Phenomena,,1
927,Argentina,AR,2023-04-23,Films,8,Chokehold,,1
928,Argentina,AR,2023-04-23,Films,9,Mighty Morphin Power Rangers: Once & Always,,1
929,Argentina,AR,2023-04-23,Films,10,Murder Mystery 2,,4
930,Argentina,AR,2023-04-23,TV,1,The Marked Heart,The Marked Heart: Season 2,1
931,Argentina,AR,2023-04-23,TV,2,The Marked Heart,The Marked Heart: Season 1,7
932,Argentina,AR,2023-04-23,TV,3,The Diplomat,The Diplomat: Season 1,1
933,Argentina,AR,2023-04-23,TV,4,The Night Agent,The Night Agent: Season 1,5
934,Argentina,AR,2023-04-23,TV,5,Obsession,Obsession: Limited Series,2
935,Argentina,AR,2023-04-23,TV,6,Welcome to Eden,Welcome to Eden: Season 2,1
936,Argentina,AR,2023-04-23,TV,7,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",14
