,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
2929,Jurassic World: Dominion,0,6500000,196034,5.6,"['Action', 'Adventure', 'Sci-Fi']","tyrannosaurus rex,velociraptor,dinosaur,locust,jurassic park","Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",0,0,Unknown,No
2931,Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,2021-09-22 00:00:00,6500000,4647,6.3,"['Documentary', 'Crime']","tv mini series,timeframe 1970s,true crime,rape,rapist","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,9,Wednesday,Yes
2933,Pocoyo: Season 2 // Pocoyó: Temporada 2,0,6500000,46544,7.5,"['Animation', 'Action', 'Adventure']","pokemon,pikachu,ash ketchum character,dawn character,team rocket","Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.",0,0,Unknown,No
2934,Powder // Polvo,0,6500000,32168,6.6,"['Drama', 'Fantasy', 'Mystery']","albino,electricity,loneliness,bully,spoon",An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,0,0,Unknown,No
2937,Space Jam: A New Legacy,0,6500000,78545,4.5,"['Animation', 'Adventure', 'Comedy']","real person becomes animated,rabbit,duck,monster,pig","A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.",0,0,Unknown,No
2938,Spider-Man: No Way Home,0,6500000,848281,8.2,"['Action', 'Adventure', 'Fantasy']","spider man character,superhero,marvel cinematic universe,multiverse,green goblin character",unknown,0,0,Unknown,No
2939,Spirit Riding Free: Season 3,2017-11-17 00:00:00,6500000,4510,5.5,"['Animation', 'Adventure', 'Comedy']","horse,cgi animation,wild horse,female protagonist,brown haired girl",Lucky Prescott&apos;s life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,2017,11,Friday,No
2940,The 7 Lives of Lea: Limited Series // Les 7 vies de Léa: Mini-série,2022-04-28 00:00:00,6500000,4940,7.5,"['Crime', 'Drama', 'Fantasy']","teenager,supernatural power,body swap,magical realism,murder mystery","Follows a woman who stumbles upon the body of Ismael, a teenager who disappeared thirty years earlier, with the event taking her back to 1991 and seeing her wake up every morning in the body of a different person.",2022,4,Thursday,Yes
2941,The Departed (2006),0,6500000,1395221,8.5,"['Crime', 'Drama', 'Thriller']","police,mobster,organized crime,undercover,irish american",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,0,0,Unknown,No
2942,The Gentlemen's League: 2023 // 뭉쳐야 찬다: 2023,0,6500000,5843,6.1,"['Comedy', 'Fantasy', 'Horror']","written by cast member,meta film,self referential humor,meta joke,businessman",The notorious fictional town of Royston Vasey is under threat and its inhabitants are forced to leave.,0,0,Unknown,Yes
2943,The Great British Baking Show: Collection 8,2020-09-25 00:00:00,6500000,12265,8.6,"['Game-Show', 'Reality-TV']","baking competition,baking bread,baker,food tasting,amateur",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain&apos;s best amateur baker.,2020,9,Friday,No
2944,The Great British Baking Show: Collection 9,2021-09-24 00:00:00,6500000,12265,8.6,"['Game-Show', 'Reality-TV']","baking competition,baking bread,baker,food tasting,amateur",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain&apos;s best amateur baker.,2021,9,Friday,No
2945,The Intern (2015),0,6500000,268803,7.1,"['Comedy', 'Drama']","website,f rated,office,reference to jack nicholson,reference to george clooney",unknown,0,0,Unknown,No
2946,The Judge (2014),0,6500000,199234,7.4,"['Crime', 'Drama']","courtroom,lawyer,dysfunctional family,trial,father son estrangement","Big-city lawyer Hank Palmer returns to his childhood home where his father, the town&apos;s judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family.",0,0,Unknown,No
2947,The Magic School Bus Rides Again: Season 1,2017-09-29 00:00:00,6500000,99,6.3,"['Animation', 'Adventure', 'Comedy']",unknown,The Magic School Bus kids blast into orbit and onto the International Space Station only to find themselves on the run from a giant tardigrade.,2017,9,Friday,Yes
2948,The Midnight Gospel: Season 1,2020-04-20 00:00:00,6500000,11869,8.4,['Short'],unknown,unknown,2020,4,Monday,Yes
2950,The Social Network,0,6500000,744702,7.8,"['Biography', 'Drama']","facebook,young entrepreneur,based on real person,intellectual property,entrepreneur","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",0,0,Unknown,No
2951,The Taking of Pelham 123 (2009),0,6500000,205674,6.4,"['Action', 'Crime', 'Thriller']","child in jeopardy,t. scott and washington,train,hostage,subway",unknown,0,0,Unknown,No
2952,The Woods: Season 1 // W głębi lasu: Sezon 1,2020-06-12 00:00:00,6500000,11869,8.4,['Short'],unknown,unknown,2020,6,Friday,Yes
2954,Trailer Park Boys: Season 10,2016-03-28 00:00:00,6500000,3898,7.9,['Comedy'],"trailer park,killing a pet,dark comedy,reference to reveen,reference to patrick swayze",Two petty felons have a documentary made about their life in a trailer park.,2016,3,Monday,Yes
2956,Unleashed (2005),0,6500000,107134,7.0,"['Action', 'Crime', 'Thriller']","dog,collar,piano duet,deception,ice cream cone",A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.,0,0,Unknown,No
2957,When My Love Blooms: Season 1 // 화양연화 - 삶이 꽃이 되는 순간: 시즌1,0,6500000,560,7.4,"['Drama', 'Romance']",unknown,"Jae-hyun and Ji-soo fell in love when they were university students. Twenty years later, they cross paths once again: Jae-hyun has become a successful businessman, while Ji-soo is a mother and a contract worker living a difficult ...",0,0,Unknown,Yes
2959,All Day and a Night,2020-05-01 00:00:00,6400000,4196,6.0,['Drama'],"prison,prison drama",unknown,2020,5,Friday,Yes
2960,Bastille Day,0,6400000,17,5.9,"['Short', 'Sci-Fi']","astronaut,space sci fi","A lone astronaut, reaching the event horizon of a black hole, remembers a distant time when he used to stargaze with the love of his life.",0,0,Unknown,No
2961,Beyblade Burst Rise: Season 1 // ベイブレードバースト ガチ: シーズン1,0,6400000,222,5.9,"['Animation', 'Action', 'Family']",anime animation,"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan - Beyblade&apos;s birthplace.",0,0,Unknown,No
2963,Derry Girls: Season 1,2018-12-21 00:00:00,6400000,130,6.6,"['Musical', 'Short']","underwater scene,waterfall,precision,swimming,march",unknown,2018,12,Friday,Yes
2964,Doraemon: Season 1 // ドラえもん: シーズン1,0,6400000,598,7.0,"['Animation', 'Adventure', 'Comedy']","2d animation,japan only film,cartoon cat,pirate,anime animation","Nobita coaxes his friends to join him for a treasure hunt but an eerie event transports them to the past. However, their hunt for treasure is not easy as they come face-to-face with pirates.",0,0,Unknown,No
2965,Double Dad // Pai Em Dobro,2021-01-15 00:00:00,6400000,1471,5.6,"['Comedy', 'Drama', 'Family']","searching for father,rio de janeiro brazil,hippie,painting,painter","While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",2021,1,Friday,Yes
2966,Fear Street Part 2: 1978,2021-07-09 00:00:00,6400000,74037,6.7,"['Drama', 'Horror', 'Mystery']","sequel,camp nurse,snake,kissing in an outhouse,teensploitation","Shadyside, 1978. School&apos;s out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",2021,7,Friday,Yes
2967,Gabriel Iglesias: Stadium Fluffy,2022-10-18 00:00:00,6400000,1488,7.1,"['Documentary', 'Comedy']","tv special,stand up comedy,stand up comedy special",unknown,2022,10,Tuesday,Yes
2968,Get Organized with The Home Edit: Season 2,2022-04-01 00:00:00,6400000,1762,5.5,['Reality-TV'],"master,diy,home makeover reality tv,lifestyle reality tv,non fiction",Organizers Clea Shearer and Joanna Teplin of The Home Edit conquer clutter and transform lives. Reese Witherspoon and Molly Sims coproduce.,2022,4,Friday,Yes
2970,How to Change Your Mind: Limited Series,2022-07-12 00:00:00,6400000,3107,7.9,['Documentary'],"science and technology documentary,dying,social documentary,tv mini series,community","It showcases what psychedelics teaches people about consciousness, dying, addiction, depression and transcendence.",2022,7,Tuesday,No
2972,Resident Evil: Apocalypse,0,6400000,207510,6.1,"['Action', 'Horror', 'Sci-Fi']","monster,nuclear explosion,explosion,strong female character,strong female lead","Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped.",0,0,Unknown,No
2973,Sausage Party,0,6400000,206688,6.1,"['Animation', 'Adventure', 'Comedy']","adult humor,adult animation,supermarket,eaten alive,sex scene",A sausage strives to discover the truth about his existence.,0,0,Unknown,No
